Concept or Algorithm,Description,Type,Programming Language or Framework,Key Features,Source,
Grover's Algorithm,A quantum search algorithm designed to find specific values within an unsorted database using an oracle function to mark target states.,Algorithm,"Qiskit, Python","Provides a quadratic speedup with a complexity of O(sqrt(N/s)), significantly lower than classical linear searches.","1, 2",
Hadamard Gate,"A single-qubit logic gate that maps basis states into a superposition, allowing a qubit to represent multiple values simultaneously.",Logic Gate,"Qiskit, Python",Creates an equal superposition state with a 50/50 probability of measuring 0 or 1; essential for quantum parallelism.,3-6,
Quantum Random Number Generator (QRNG),A program that utilises the inherent probabilistic nature of quantum superposition to produce truly random values.,Algorithm,"Qiskit, Python","Unlike classical PRNGs, it provides true randomness as the result of measurement cannot be predicted even with knowledge of initial seeds.","6, 7",
QAOA,The Quantum Approximate Optimisation Algorithm is a hybrid quantum-classical algorithm used for solving optimisation problems.,Algorithm,"Qiskit, Python",Used for problems like the Travelling Salesman Problem; involves iterative parameter optimisation between quantum and classical steps.,2,
C++ and Haskell Combo,A dual-programming approach where Haskell acts as the architect for high-level logic and C++ handles low-level hardware performance.,Programming Language,"C++, Haskell",Combines Haskell's formal verification and gate-level design with C++'s raw speed and resource management.,8,
"Pauli Gates (X, Y, Z)",A set of fundamental single-qubit gates representing rotations of 180 degrees around the respective Bloch sphere axes.,Logic Gate,Qiskit,X-gate performs a bit-flip; Z-gate performs a phase-flip; Y-gate performs a combined bit and phase-flip.,"3, 4",
Qiskit,"An open-source Software Development Kit (SDK) for working with quantum computers at the level of circuits, pulses, and algorithms.",Programming Language,Python,The most popular quantum SDK; allows simulation on local PCs or execution on real IBM quantum hardware.,"1, 2, 5-7",
Quipper,A tool used within the Haskell ecosystem for designing and sketching quantum circuits at the gate level.,Programming Language,Haskell,Provides an intuitive interface for designing complex quantum algorithms and circuits before hardware execution.,8,
Shor's Algorithm,"A complex quantum algorithm used for finding the prime factors of an integer, which serves as the basis for breaking various encryption schemes.",Algorithm,Not in source,Capable of solving integer factorisation problems that are computationally infeasible for classical systems.,"1, 2",
Rotation Gates,"Single-qubit gates that manipulate a qubit's state by performing rotations around the X, Y, or Z axes of the Bloch sphere.",Logic Gate,Not in source,"Defined by a rotation angle (theta); Rx and Ry change measurement probabilities, while Rz only changes the relative phase.","9, 10",
Willow Chip,Google's latest quantum processor designed to tackle complex problems significantly faster than existing supercomputers.,Hardware,Not in source,"Drastically lowers error rates and overcomes challenges in stabilising qubits for reliable, scalable calculations.",8,
Semi-Dirac Fermions,Unique particles that act as quantum transistors by providing controlled pathways for qubits to flow efficiently.,Hardware,Not in source,Behave as massless in one direction for resistance-free information flow and 'heavy' in another to anchor qubits and reduce noise.,8,
"Phase Gates (S, T)",Quantum gates that change the relative phase of a qubit's state without altering the measurement probabilities in the computational basis.,Logic Gate,Not in source,"Includes S, T, and their adjoints (S-dagger, T-dagger); applies a phase shift to the \",1> component.,3